Name,Info,Address,Category,Latitude,Longitude
Supreme,,"J M Rd Opp. Sambhaji Garden ,Shivaji Nagar, Pune",Pavbhaji and Pulav,18.5202536,73.84611833
Swikar snaks,,"Kothrud ,Signal Next to karve Putla Signal",Snacks,18.50311382,73.81828151
Tasty tongues,,"Baner Pashan Road, Chandani Chowk, Pune",Delhi Chaat,18.5151423,73.78199746
Tiffinee,,BVP Back Market Katraj ,Egg rice,,
Tilak,,"Tilak Road ,lane behind Dell Showroom",Tea Pattice,18.491514,73.833412
Trupti Chaha,,dyaneshwar Paduka chowk ,Tea Stalls,,
Tupe tea stall,,Gadital ,Tea Stalls,,
Vaijanath,,"Alaka Chowk,Sadashive Peth ",Tea Stalls,18.503419,73.844783
Vaishali,,"Survey No 1218 1, Fergusson College Road, Pune - 411004 ",Dosa South Indian,18.52519,73.841171
Varsha Bhel,,"Jagatap Chowk ,Parmar Nagar, Wanwadi",Snacks,18.49340612,73.8998557
Vishal,,near MIT pune  ,Pav Bhaji and Pulav,,
Vohuman Café,,,Bun Omlete,,
Wadeshwar,,"Fergusson College Rd, Shivaji Nagar, Pune",Misal,18.51863162,73.84142894
Titos ,,NIBM Road ,Sandwitch,,
